,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20,0.78635186,1.0072231,0.0,0.6205936,0.4877659,1.6608961,0.0037257057,0.7064035,0.0,1.7739456,0.54491854,1.2126281,1.2129039,1.093797,0.0,1.3775405,0.0,0.61593086,0.33148378,0.3839306
21,3.5650544,3.5494552,0.0,0.90092486,3.3441303,3.877873,0.73878926,2.3101988,0.0,4.4551487,0.5380992,4.0845346,3.5414815,2.2644968,1.0370884,4.5897985,0.0,3.4679918,1.9207027,1.3414967
22,0.5254647,0.60106856,2.5369897,2.1631827,0.30786932,0.88307273,2.3633635,1.9858341,2.8587456,1.296271,1.305841,0.0,1.9095868,0.743472,2.6989172,0.2259239,2.0352736,0.1985442,2.507389,2.1903348
23,0.23715699,0.2609127,1.7341866,1.4692718,0.14496921,0.74913585,1.6050098,1.300451,1.877033,0.95072144,1.1811365,0.0,1.2741654,0.7030877,1.8414423,0.16401315,1.5254172,0.22429937,1.749014,1.420246
24,0.3267961,0.25985816,2.0846474,1.7114502,0.5744945,0.626204,1.8592877,1.2399141,2.3688002,0.6108738,0.83348906,0.0,1.2082797,0.8025787,2.0922942,0.36129993,1.7541435,0.37002042,2.0474298,1.5439205
25,3.139213,2.9860125,0.0,0.5532003,3.17206,2.901425,0.46514714,1.5967464,0.0,3.1594558,0.39078248,3.1855097,2.4721963,2.4638891,0.7625996,4.1426806,0.0,3.4601498,1.4700773,1.1254277
26,0.650712,0.55475265,3.1431842,2.745695,0.26836783,1.2226837,2.9561517,2.4674668,3.4691834,1.7288837,1.809521,0.0,1.9143403,1.1167399,3.4766986,0.3886014,2.758206,0.23792267,3.075148,2.5785685
27,0.3058261,0.3302119,2.2013664,1.9172956,0.24951282,1.1681471,1.9636321,1.5718105,2.4696245,1.4286677,1.5491582,0.0,1.0746503,0.81097496,2.539263,0.28442687,2.0103369,0.09937096,2.2450905,1.6643531
28,4.629122,4.0059695,0.0,0.5059065,3.8085616,3.3335216,1.0844548,3.6288366,0.0,4.6288037,0.15122679,5.1048293,6.4382715,1.9992027,0.80190724,3.7205267,0.0,4.3686996,2.3384485,3.6797643
29,0.7829368,0.44247025,3.4643188,2.9523482,0.7910053,1.2960513,3.2043743,2.4837332,3.8302598,1.361206,1.5426925,0.0,1.9675937,1.0606658,3.7190418,0.48113436,2.9994423,0.42949697,3.5693328,2.6458085
30,0.0,0.3569845,0.7730042,0.9505014,0.019211993,0.25331613,0.5513815,0.78650224,1.0448247,0.7817189,0.9684044,0.0,1.7450625,0.9728069,0.8542404,0.0,0.6857492,0.12240423,1.0626999,1.1008034
31,0.2262248,0.41097537,2.1078646,1.9093901,0.14295465,0.80174744,1.9331424,1.6790851,2.3120027,1.4749291,1.554505,0.0,1.8020535,1.1409937,2.4271512,0.031448252,1.6919706,0.09624779,2.153208,1.9367025
